n.label,type(r),type(r1),m.label
PPP1R15A gene,INTERACTS_WITH,INHIBITS,KLF9 gene
PPP1R15A gene,INTERACTS_WITH,INHIBITS,KLF9 gene
PPP1R15A gene,INTERACTS_WITH,INHIBITS,KLF9 gene
LCT gene,INTERACTS_WITH,INHIBITS,"BMPR2 protein, human"
Pentoxifylline,INTERACTS_WITH,INHIBITS,Aldehyde Dehydrogenase Mitochondrial
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Aldehyde Dehydrogenase Mitochondrial
Pentoxifylline,INTERACTS_WITH,INHIBITS,Aldehyde Dehydrogenase Mitochondrial
Cisplatin,INTERACTS_WITH,INHIBITS,Borneol
Glucose,INTERACTS_WITH,INHIBITS,HAO1 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,KLF4 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,KLF4 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,deguelin
Metformin,INTERACTS_WITH,INHIBITS,DNA Modification Methylases
YAP1 gene,INTERACTS_WITH,INHIBITS,TEAD4 gene
Interleukin-8,INTERACTS_WITH,INHIBITS,SETD2 gene
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,SETD2 gene
gefitinib,INTERACTS_WITH,INHIBITS,USP37 gene
gefitinib,INTERACTS_WITH,INHIBITS,USP37 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,NANOG gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,NANOG gene
"Alkaline phosphatase isoenzyme, bone fraction",INTERACTS_WITH,INHIBITS,CYP1B1 gene
KEAP1 gene,INTERACTS_WITH,INHIBITS,S100A4 wt Allele
GA-Binding Protein Transcription Factor,INTERACTS_WITH,INHIBITS,S100A4 wt Allele
GPX4 gene,INTERACTS_WITH,INHIBITS,phospholipid-hydroperoxide glutathione peroxidase
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,PTPRA gene
SETDB1 gene,INTERACTS_WITH,INHIBITS,FOXA2 gene
SNAI1 gene,INTERACTS_WITH,INHIBITS,LINC00891 gene
GATA2 gene,INTERACTS_WITH,INHIBITS,LINC00891 gene
RHOA gene,INTERACTS_WITH,INHIBITS,LINC00891 gene
KEAP1 gene,INTERACTS_WITH,INHIBITS,TRIM15 gene
KEAP1 gene,INTERACTS_WITH,INHIBITS,TRIM15 gene
QSOX1 gene,INTERACTS_WITH,INHIBITS,YBX1 gene
QSOX1 gene,INTERACTS_WITH,INHIBITS,YBX1 gene
Plasmids,INTERACTS_WITH,INHIBITS,YBX1 gene
MDM2 gene,INTERACTS_WITH,INHIBITS,YBX1 gene
MDM2 gene,INTERACTS_WITH,INHIBITS,YBX1 gene
HIF1A wt Allele,INTERACTS_WITH,INHIBITS,POU6F1 gene
HIF1A wt Allele,INTERACTS_WITH,INHIBITS,POU6F1 gene
HIF1A gene,INTERACTS_WITH,INHIBITS,POU6F1 gene
ENO1 gene,INTERACTS_WITH,INHIBITS,POU6F1 gene
PRKCB gene,INTERACTS_WITH,INHIBITS,POU6F1 gene
pyruvate dehydrogenase kinase isoform 1,INTERACTS_WITH,INHIBITS,POU6F1 gene
PARP1 gene,INTERACTS_WITH,INHIBITS,Niraparib
AKT1 gene,INTERACTS_WITH,INHIBITS,PRMT5 gene
MicroRNAs,INTERACTS_WITH,INHIBITS,LINC00665 gene
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,DSTYK gene
FBP1 gene,INTERACTS_WITH,INHIBITS,ALDOA gene
"Genes, Neoplasm",INTERACTS_WITH,INHIBITS,TET1 gene
HUWE1 gene,INTERACTS_WITH,INHIBITS,BMI1 gene
HUWE1 gene,INTERACTS_WITH,INHIBITS,BMI1 gene
MCL1 gene,INTERACTS_WITH,INHIBITS,BMI1 gene
BMI1 gene,INTERACTS_WITH,INHIBITS,HUWE1 gene
BMI1 gene,INTERACTS_WITH,INHIBITS,HUWE1 gene
FKBP12-rapamycin associated protein,INTERACTS_WITH,INHIBITS,CENPM gene
BAX gene,INTERACTS_WITH,INHIBITS,GMFG gene
VWF gene,INTERACTS_WITH,INHIBITS,PHKG1 gene
VWF gene,INTERACTS_WITH,INHIBITS,PHKG1 gene
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,"RAI3 protein, human"
"WNK1 protein, human",INTERACTS_WITH,INHIBITS,"RAI3 protein, human"
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,"RAI3 protein, human"
Glutathione,INTERACTS_WITH,INHIBITS,GSTA4 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,OIP5-AS1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,OIP5-AS1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,OIP5-AS1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,OIP5-AS1 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,Mubritinib
Cisplatin,INTERACTS_WITH,INHIBITS,Mubritinib
"PIK3CG protein, human",INTERACTS_WITH,INHIBITS,Mubritinib
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Mubritinib
heterogeneous nuclear ribonucleoprotein A2-B1,INTERACTS_WITH,INHIBITS,MEG3 gene
heterogeneous nuclear ribonucleoprotein A2-B1,INTERACTS_WITH,INHIBITS,MEG3 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,guaiol
PLK1 gene,INTERACTS_WITH,INHIBITS,Ara-C
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Ara-C
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Ara-C
GOLGA2 gene,INTERACTS_WITH,INHIBITS,IFT20 gene
IFT20 gene,INTERACTS_WITH,INHIBITS,GOLGA2 gene
YAP1 gene,INTERACTS_WITH,INHIBITS,INT-777
YAP1 gene,INTERACTS_WITH,INHIBITS,INT-777
CCT3 gene,INTERACTS_WITH,INHIBITS,EIF3G gene
CCT3 gene,INTERACTS_WITH,INHIBITS,EIF3G gene
alpha-Synuclein,INTERACTS_WITH,INHIBITS,phosphoinositidase C
TMEM173 gene,INTERACTS_WITH,INHIBITS,PCAT1 gene
STAT3 gene,INTERACTS_WITH,INHIBITS,EPX gene
ALDOA gene,INTERACTS_WITH,INHIBITS,FBP1 gene
STAT3 gene,INTERACTS_WITH,INHIBITS,PGAM1 gene
FOXP4-AS1 gene,INTERACTS_WITH,INHIBITS,EIF5A gene
Acetyl Coenzyme A,INTERACTS_WITH,INHIBITS,ANGPTL4 gene
Platinum,INTERACTS_WITH,INHIBITS,ERCC5 gene
ZEB1 gene,INTERACTS_WITH,INHIBITS,britannin
ZEB1 gene,INTERACTS_WITH,INHIBITS,britannin
CARM1 gene,INTERACTS_WITH,INHIBITS,NFIB gene
YAP1 gene,INTERACTS_WITH,INHIBITS,"BCAR1 protein, human"
YAP1 gene,INTERACTS_WITH,INHIBITS,"BCAR1 protein, human"
YAP1 gene,INTERACTS_WITH,INHIBITS,"BCAR1 protein, human"
YAP1 gene,INTERACTS_WITH,INHIBITS,"BCAR1 protein, human"
"PTK2 protein, human",INTERACTS_WITH,INHIBITS,BCAR1 gene
"PTK2 protein, human",INTERACTS_WITH,INHIBITS,BCAR1 gene
YAP1 gene,INTERACTS_WITH,INHIBITS,BCAR1 gene
YAP1 gene,INTERACTS_WITH,INHIBITS,BCAR1 gene
Poly(ADP-ribose) Polymerases,INTERACTS_WITH,INHIBITS,WEE1 gene
Poly(ADP-ribose) Polymerases,INTERACTS_WITH,INHIBITS,WEE1 gene
RALA gene,INTERACTS_WITH,INHIBITS,FAM3C gene
RALA gene,INTERACTS_WITH,INHIBITS,FAM3C gene
Proteins,INTERACTS_WITH,INHIBITS,FAM3C gene
"EPHB2 protein, human",INTERACTS_WITH,INHIBITS,Epiregulin
ESRP1 gene,INTERACTS_WITH,INHIBITS,ESRP2 gene
Xanthine Dehydrogenase,INTERACTS_WITH,INHIBITS,xanthine
STAT3 gene,INTERACTS_WITH,INHIBITS,S3I 201
POU6F2-AS2 gene,INTERACTS_WITH,INHIBITS,E2F3 gene
POU6F2-AS2 gene,INTERACTS_WITH,INHIBITS,E2F3 gene
"MPZL1 protein, human",INTERACTS_WITH,INHIBITS,protein-tyrosine kinase c-src
PBX1 gene,INTERACTS_WITH,INHIBITS,TRIM26 gene
Proteins,INTERACTS_WITH,INHIBITS,PTPN6 gene
FOXM1 gene,INTERACTS_WITH,INHIBITS,FOSL1 gene
NFIB gene,INTERACTS_WITH,INHIBITS,CARM1 gene
Amino Acids,INTERACTS_WITH,INHIBITS,Xanthine Dehydrogenase
Level,INTERACTS_WITH,INHIBITS,Xanthine Dehydrogenase
Level,INTERACTS_WITH,INHIBITS,Xanthine Dehydrogenase
xanthine,INTERACTS_WITH,INHIBITS,Xanthine Dehydrogenase
Hypoxanthine,INTERACTS_WITH,INHIBITS,Xanthine Dehydrogenase
Amino Acids,INTERACTS_WITH,INHIBITS,Xanthine Dehydrogenase
myricetin,INTERACTS_WITH,INHIBITS,MAP2K3 gene
myricetin,INTERACTS_WITH,INHIBITS,MAP2K3 gene
DCLK1 gene,INTERACTS_WITH,INHIBITS,ANGPTL2 gene
NADH,INTERACTS_WITH,INHIBITS,COA6 gene
Matrix Metalloproteinases,INTERACTS_WITH,INHIBITS,COA6 gene
gefitinib,INTERACTS_WITH,INHIBITS,TRIP13 gene
gefitinib,INTERACTS_WITH,INHIBITS,TRIP13 gene
myo-inositol-trisphosphate 3-kinase,INTERACTS_WITH,INHIBITS,ITPKA gene
TP53 gene,INTERACTS_WITH,INHIBITS,C12orf5 gene
Cisplatin,INTERACTS_WITH,INHIBITS,C12orf5 gene
Cisplatin,INTERACTS_WITH,INHIBITS,C12orf5 gene
Genes,INTERACTS_WITH,INHIBITS,nutlin 3
ITPKA gene,INTERACTS_WITH,INHIBITS,myo-inositol-trisphosphate 3-kinase
ketoglutarate dehydrogenase,INTERACTS_WITH,INHIBITS,CPI 613
CPI 613,INTERACTS_WITH,INHIBITS,ketoglutarate dehydrogenase
E2F3 gene,INTERACTS_WITH,INHIBITS,POU6F2-AS2 gene
E2F3 gene,INTERACTS_WITH,INHIBITS,POU6F2-AS2 gene
MIR145 gene,INTERACTS_WITH,INHIBITS,RTKN gene
MIR145 gene,INTERACTS_WITH,INHIBITS,RTKN gene
MIR145 gene,INTERACTS_WITH,INHIBITS,RTKN gene
MIR145 gene,INTERACTS_WITH,INHIBITS,RTKN gene
TRIM26 gene,INTERACTS_WITH,INHIBITS,PBX1 gene
Sodium Tetradecyl Sulfate,INTERACTS_WITH,INHIBITS,EEF2K gene
"ITK protein, human",INTERACTS_WITH,INHIBITS,GMDS-AS1 gene
"PTK2 protein, human",INTERACTS_WITH,INHIBITS,"MPZL1 protein, human"
protein-tyrosine kinase c-src,INTERACTS_WITH,INHIBITS,"MPZL1 protein, human"
ESRP2 gene,INTERACTS_WITH,INHIBITS,ESRP1 gene
